timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779282,-84.063093,290.862881,0.620000,-1.000000,1530638679.999933,
1530638699.493222,0.062984,0.131194,-0.944210,-0.042936,-0.094697,-0.109048,0.062401,-0.130818,-0.989441,0.032219,-0.004374,-0.011979,14.550528,10.296196,-47.016205,,,,,,,
1530638699.513191,0.057550,0.131526,-0.945884,0.022690,-0.366701,-0.048507,0.057021,-0.131147,-0.989722,0.048066,-0.040362,-0.019769,14.286627,10.231049,-47.368683,,,,,,,
1530638699.533160,0.051806,0.129959,-0.945590,-0.162692,-0.182947,0.047106,0.051346,-0.129594,-0.990237,0.048035,-0.030471,0.015658,14.204527,10.193619,-46.802109,,,,,,,
,,,,,,,,,,,,,,,,39.779282,-84.063093,290.862881,0.620000,-1.000000,1530638687.999933,
1530638699.553129,0.051630,0.123121,-0.942687,-0.475258,0.103275,0.176932,0.051216,-0.122810,-0.991108,0.028617,-0.041527,-0.002377,14.053308,10.512268,-46.912918,,,,,,,
1530638699.573098,0.054252,0.110764,-0.936505,-0.701036,0.164024,0.342484,0.053893,-0.110537,-0.992410,0.014299,-0.073224,-0.000449,14.155870,10.824364,-46.773315,,,,,,,
1530638699.593067,0.054768,0.097534,-0.928028,-0.622661,0.026854,0.379817,0.054481,-0.097379,-0.993755,0.010400,-0.008639,-0.043660,14.512743,11.174202,-46.330933,,,,,,,
,,,,,,,,,,,,,,,,39.779282,-84.063093,290.862885,-1.000000,-1.000000,1530638699.566500,
,,,,,,,,,,,,,,,,39.779282,-84.063093,290.862885,-1.000000,-1.000000,1530638699.571740,
1530638699.613036,0.053732,0.089342,-0.920783,-0.320984,-0.051031,0.294254,0.053492,-0.089223,-0.994574,0.017782,0.035467,-0.044656,14.538752,11.687325,-46.047363,,,,,,,
1530638699.633005,0.051840,0.086348,-0.916113,-0.083194,-0.073624,0.197780,0.051624,-0.086241,-0.994936,0.017651,0.038923,-0.025679,14.486219,11.903908,-46.336441,,,,,,,
,,,,,,,,,,,,,,,,39.779282,-84.063093,290.862885,-1.000000,-1.000000,1530638699.610617,
,,,,,,,,,,,,,,,,39.779282,-84.063093,290.862885,-1.000000,-1.000000,1530638699.615177,
1530638699.652974,0.050178,0.086825,-0.912806,0.049411,-0.088724,0.140213,0.049968,-0.086716,-0.994979,0.007588,0.012818,0.002105,14.438074,11.951256,-46.198990,,,,,,,
1530638699.672944,0.047238,0.089271,-0.911579,0.157234,-0.158691,0.036262,0.047032,-0.089152,-0.994907,0.016048,0.032252,-0.022885,14.321566,11.931709,-46.389771,,,,,,,
1530638699.692913,0.044811,0.093814,-0.910314,0.261438,-0.078686,0.115346,0.044599,-0.093676,-0.994603,0.025256,-0.002195,-0.009166,14.340391,11.680824,-46.416855,,,,,,,
1530638699.712882,0.043555,0.100109,-0.907289,0.352221,-0.031623,0.169611,0.043323,-0.099942,-0.994050,0.009030,-0.010669,0.038956,14.306017,11.759300,-46.698318,,,,,,,
1530638699.732851,0.041118,0.108142,-0.905764,0.423680,-0.200661,0.026747,0.040866,-0.107932,-0.993318,0.004590,0.050726,0.015382,14.149385,11.107849,-46.782471,,,,,,,
