timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.778903,-84.063145,290.311855,0.550000,-1.000000,1530639862.000070,
1530639870.245527,-0.043651,0.313389,-1.503943,-0.000627,0.089495,0.231170,-0.041511,-0.308284,-0.950388,0.052635,-0.000279,0.014795,-0.137688,6.036407,-50.481445,,,,,,,
,,,,,,,,,,,,,,,,39.778903,-84.063145,290.311855,0.550000,-1.000000,1530639870.000070,
1530639870.265495,-0.046763,0.313297,-1.498525,-0.015583,-0.150327,0.271162,-0.044471,-0.308197,-0.950283,0.061286,-0.011109,-0.013584,-0.229496,6.182175,-50.449097,,,,,,,
1530639870.285464,-0.050970,0.312160,-1.492092,-0.061174,-0.042530,0.329325,-0.048486,-0.307115,-0.950436,0.032861,-0.024229,-0.027316,-0.209339,6.041870,-50.435211,,,,,,,
1530639870.305433,-0.051165,0.310198,-1.484593,-0.083668,0.163543,0.382330,-0.048702,-0.305247,-0.951027,0.024471,-0.001454,-0.040123,-0.211975,6.084511,-50.326721,,,,,,,
1530639870.325402,-0.049615,0.308255,-1.476054,-0.055720,0.199658,0.426428,-0.047257,-0.303396,-0.951692,0.035416,0.002188,-0.060652,0.011570,6.162514,-50.431686,,,,,,,
,,,,,,,,,,,,,,,,39.778903,-84.063145,290.311859,-1.000000,-1.000000,1530639870.304870,
,,,,,,,,,,,,,,,,39.778903,-84.063145,290.311859,-1.000000,-1.000000,1530639870.309059,
1530639870.345370,-0.048334,0.308006,-1.466971,0.051166,0.190726,0.436028,-0.046041,-0.303159,-0.951827,0.038824,0.009427,-0.072312,0.158752,6.125801,-50.020782,,,,,,,
1530639870.365339,-0.047212,0.309934,-1.457687,0.145534,0.195102,0.437197,-0.044946,-0.304996,-0.951292,0.034829,0.011997,-0.052568,0.359566,6.110466,-49.961014,,,,,,,
,,,,,,,,,,,,,,,,39.778903,-84.063145,290.311859,-1.000000,-1.000000,1530639870.347000,
,,,,,,,,,,,,,,,,39.778903,-84.063145,290.311859,-1.000000,-1.000000,1530639870.352304,
1530639870.385308,-0.046238,0.312857,-1.448466,0.171811,0.186309,0.430411,-0.043978,-0.307778,-0.950441,0.033068,0.013588,-0.038832,0.449768,5.880623,-50.148270,,,,,,,
1530639870.405277,-0.044771,0.315937,-1.439407,0.177139,0.230545,0.418700,-0.042541,-0.310707,-0.949553,0.018722,0.021614,-0.035829,0.603584,5.762413,-49.842896,,,,,,,
