timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779247,-84.064432,292.701752,-1.000000,-1.000000,1530638558.879922,
,,,,,,,,,,,,,,,,39.779247,-84.064432,292.701752,-1.000000,-1.000000,1530638567.879922,
1530638595.944862,-0.011421,0.284287,1.898063,0.047683,-0.343484,0.104552,-0.010962,-0.280473,-0.959799,-0.013055,-0.010848,-0.019586,2.484175,-6.436806,-22.025444,,,,,,,
1530638595.964831,-0.015522,0.283231,1.900657,-0.101510,-0.027901,0.131391,-0.014903,-0.279460,-0.960042,-0.010136,-0.018651,0.035817,2.570719,-6.456596,-22.159912,,,,,,,
1530638595.984800,-0.015203,0.278950,1.903211,-0.274521,0.089207,0.126251,-0.014615,-0.275346,-0.961234,-0.033908,-0.031493,0.005195,2.445486,-6.448380,-22.218185,,,,,,,
1530638596.004768,-0.012064,0.271755,1.906132,-0.402742,0.236958,0.157450,-0.011621,-0.268423,-0.963231,-0.031637,-0.011790,0.023870,2.582537,-6.387848,-22.544884,,,,,,,
,,,,,,,,,,,,,,,,39.779116,-84.064888,292.701752,-1.000000,-1.000000,1530638596.006747,
1530638596.024737,-0.007026,0.263749,1.909011,-0.373193,0.346414,0.131777,-0.006783,-0.260702,-0.965396,-0.061134,0.037359,0.009555,2.640577,-6.378387,-22.324615,,,,,,,
,,,,,,,,,,,,,,,,39.779116,-84.064888,292.701752,-1.000000,-1.000000,1530638596.013932,
1530638596.044706,0.000100,0.258332,1.911544,-0.233637,0.381769,0.120756,0.000097,-0.255468,-0.966817,-0.061254,-0.017741,0.005712,2.772284,-6.015839,-22.260025,,,,,,,
,,,,,,,,,,,,,,,,39.779116,-84.064888,292.701752,-1.000000,-1.000000,1530638596.042196,
1530638596.064674,0.004881,0.255453,1.914326,-0.077535,0.214872,0.143091,0.004722,-0.252684,-0.967537,-0.023445,-0.064165,-0.032829,2.950949,-5.857208,-22.077080,,,,,,,
,,,,,,,,,,,,,,,,39.779116,-84.064889,292.701752,-1.000000,-1.000000,1530638596.059969,
1530638596.084643,0.008202,0.257091,1.916677,0.165199,0.222941,0.082300,0.007932,-0.254268,-0.967101,-0.027112,-0.006398,-0.054902,2.936388,-5.944016,-22.433495,,,,,,,
1530638596.104612,0.014004,0.262127,1.917632,0.271450,0.367828,0.037650,0.013525,-0.259135,-0.965746,-0.053442,0.039058,-0.009641,3.280111,-6.110458,-22.230423,,,,,,,
1530638596.124580,0.026831,0.267639,1.918973,0.292959,0.892941,0.087405,0.025873,-0.264455,-0.964051,-0.111338,0.048589,-0.041671,3.356173,-6.177902,-22.367325,,,,,,,
1530638596.144549,0.045045,0.274186,1.920668,0.310818,0.838861,0.084796,0.043348,-0.270763,-0.961669,-0.102903,0.032085,-0.042664,3.871759,-6.557671,-22.275986,,,,,,,
1530638596.164518,0.052188,0.275954,1.922392,-0.079380,0.008619,0.117311,0.050191,-0.272465,-0.960856,0.007548,0.065205,0.069849,4.018393,-6.385498,-22.124138,,,,,,,
1530638596.184486,0.039895,0.271362,1.925993,-0.268263,-0.790796,0.152138,0.038425,-0.268044,-0.962640,-0.064701,0.032891,0.058618,4.108004,-6.475960,-22.468834,,,,,,,
1530638596.204455,0.020913,0.267781,1.926782,-0.086126,-0.975951,-0.059928,0.020166,-0.264592,-0.964150,-0.062524,-0.027995,0.020714,3.915941,-6.385460,-22.358093,,,,,,,
1530638596.224424,0.003264,0.269244,1.923286,0.182424,-0.879012,-0.202534,0.003147,-0.266003,-0.963967,0.026333,-0.110081,0.008096,3.463896,-6.412582,-22.262032,,,,,,,
1530638596.244393,-0.011944,0.273807,1.918330,0.191441,-0.740470,-0.282849,-0.011499,-0.270398,-0.962680,0.031869,-0.129031,0.013202,3.142508,-6.183990,-22.220100,,,,,,,
1530638596.264361,-0.020855,0.274605,1.910569,-0.061298,-0.481143,-0.416962,-0.020072,-0.271167,-0.962323,-0.072763,-0.028180,0.050687,3.209475,-6.437645,-22.198509,,,,,,,
