timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779209,-84.064390,292.708221,-1.000000,-1.000000,1530640127.441871,
1530640144.492521,-0.086338,0.230820,-1.372592,-0.092945,-0.181460,-0.011756,-0.083943,-0.228776,-0.969853,-0.007289,-0.025619,-0.146602,6.995251,-1.266571,-15.204926,,,,,,,
,,,,,,,,,,,,,,,,39.779209,-84.064390,292.708221,-1.000000,-1.000000,1530640136.441871,
1530640144.512489,-0.087215,0.236178,-1.372929,0.457792,0.064737,-0.041253,-0.084686,-0.233989,-0.968544,-0.019180,0.009181,-0.120735,7.033558,-1.354065,-15.329880,,,,,,,
1530640144.532458,-0.082827,0.249688,-1.371745,0.773816,0.299238,0.035238,-0.080167,-0.247102,-0.965668,0.022336,0.003007,-0.083328,7.169682,-1.488770,-15.045898,,,,,,,
1530640144.552426,-0.077480,0.265117,-1.368371,0.740490,0.293034,0.135871,-0.074698,-0.262022,-0.962167,0.048392,-0.017305,-0.022285,7.280609,-1.982155,-14.980927,,,,,,,
,,,,,,,,,,,,,,,,39.779163,-84.064447,292.708221,-1.000000,-1.000000,1530640144.546864,
,,,,,,,,,,,,,,,,39.779163,-84.064447,292.708221,-1.000000,-1.000000,1530640144.552988,
1530640144.572394,-0.074452,0.276056,-1.364053,0.436085,0.164808,0.175169,-0.071567,-0.272563,-0.959473,0.042774,-0.031606,0.034561,7.507294,-2.334122,-14.830505,,,,,,,
1530640144.592363,-0.073347,0.280281,-1.360223,0.110095,0.071188,0.159861,-0.070422,-0.276625,-0.958394,0.009753,-0.035173,0.055699,7.372860,-2.499763,-14.378914,,,,,,,
,,,,,,,,,,,,,,,,39.779162,-84.064448,292.708221,-1.000000,-1.000000,1530640144.602949,
1530640144.612331,-0.073346,0.279474,-1.357443,-0.094130,0.027315,0.128390,-0.070437,-0.275850,-0.958616,-0.017606,-0.021895,0.042570,7.293686,-2.187683,-14.786400,,,,,,,
,,,,,,,,,,,,,,,,39.779162,-84.064448,292.708221,-1.000000,-1.000000,1530640144.606899,
1530640144.632300,-0.074684,0.277681,-1.354856,-0.035364,-0.051060,0.125226,-0.071756,-0.274126,-0.959013,-0.045493,-0.025923,-0.018236,7.292973,-2.543312,-14.657043,,,,,,,
1530640144.652268,-0.075743,0.278944,-1.353355,0.110119,-0.046040,0.030948,-0.072746,-0.275341,-0.958590,-0.045586,-0.053471,-0.046293,7.173824,-2.495087,-14.723099,,,,,,,
