timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779390,-84.063968,294.089447,-1.000000,-1.000000,1530638338.719187,
1530638402.274271,0.087313,0.432430,0.002449,-0.185932,0.269597,0.696594,0.079175,-0.419079,-0.904491,-0.029172,0.014950,0.070354,7.766584,-9.970078,-23.977486,,,,,,,
,,,,,,,,,,,,,,,,39.779390,-84.063968,294.089447,-1.000000,-1.000000,1530638347.719187,
1530638402.294241,0.083925,0.428516,0.018975,-0.184198,0.169920,0.743549,0.076248,-0.415522,-0.906382,-0.025832,0.031382,0.024775,7.679422,-9.953278,-24.075256,,,,,,,
1530638402.314210,0.079134,0.425441,0.036454,-0.131063,0.136484,0.787043,0.072005,-0.412723,-0.908006,-0.056578,0.065692,-0.000578,7.778128,-9.987541,-24.037987,,,,,,,
,,,,,,,,,,,,,,,,39.779390,-84.063968,294.089447,-1.000000,-1.000000,1530638402.309439,
,,,,,,,,,,,,,,,,39.779390,-84.063968,294.089447,-1.000000,-1.000000,1530638402.318101,
1530638402.334180,0.074777,0.424693,0.054596,-0.018160,0.250975,0.827372,0.068071,-0.412041,-0.908619,-0.105943,0.083901,-0.003872,7.636511,-10.014557,-24.247795,,,,,,,
1530638402.354149,0.073298,0.428517,0.071761,0.211302,0.258249,0.722503,0.066611,-0.415522,-0.907141,-0.098929,0.125773,-0.067102,7.735060,-10.245903,-24.251625,,,,,,,
,,,,,,,,,,,,,,,,39.779390,-84.063968,294.089447,-1.000000,-1.000000,1530638402.357858,
1530638402.374118,0.070021,0.435895,0.084101,0.388191,0.012367,0.512355,0.063422,-0.422222,-0.904271,-0.141333,0.089153,-0.118266,7.641977,-10.401688,-24.044670,,,,,,,
,,,,,,,,,,,,,,,,39.779390,-84.063968,294.089447,-1.000000,-1.000000,1530638402.363150,
1530638402.394088,0.066791,0.445633,0.092213,0.608190,0.112152,0.279688,0.060223,-0.431029,-0.900326,-0.051342,0.079497,0.006222,7.568811,-10.593506,-24.209732,,,,,,,
1530638402.414057,0.075571,0.459080,0.092281,0.716063,0.809367,0.021973,0.067682,-0.443123,-0.893902,-0.058512,-0.035331,0.028363,7.819620,-10.867767,-23.959396,,,,,,,
1530638402.434027,0.095863,0.467321,0.101638,0.259503,1.387699,0.699397,0.085453,-0.450496,-0.888680,-0.032353,-0.160344,0.030693,8.151129,-11.134544,-23.810196,,,,,,,
1530638402.453996,0.107839,0.471022,0.121729,0.064527,0.797561,0.961785,0.095910,-0.453798,-0.885928,0.044410,-0.123000,-0.174954,8.621019,-11.271439,-23.631638,,,,,,,
1530638402.473965,0.108455,0.476053,0.140897,0.224390,0.335069,0.787446,0.096207,-0.458274,-0.883589,0.079864,0.051383,-0.251055,8.876902,-11.657310,-23.623161,,,,,,,
1530638402.493935,0.106443,0.482945,0.153084,0.289985,0.057979,0.466168,0.094091,-0.464389,-0.880619,0.022440,0.074634,-0.166851,8.695238,-11.830307,-23.118492,,,,,,,
1530638402.513904,0.099239,0.487326,0.161960,0.083855,-0.233050,0.417351,0.087543,-0.468265,-0.879241,0.025769,-0.019131,-0.006593,8.652559,-11.873474,-23.600029,,,,,,,
1530638402.533874,0.090507,0.486517,0.172193,-0.171279,-0.133860,0.452906,0.079896,-0.467550,-0.880349,-0.041780,-0.083583,0.090752,8.562845,-12.113785,-23.832375,,,,,,,
