timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1530639606.079655,0.070268,0.468020,-1.734346,-0.189290,0.023408,-0.419592,0.062660,-0.451120,-0.890261,-0.019752,0.026132,-0.062101,8.020086,-6.633141,-19.969528,,,,,,,
,,,,,,,,,,,,,,,,39.779212,-84.064401,292.752808,-1.000000,-1.000000,1530639577.448986,
1530639606.099624,0.070934,0.463835,-1.742054,-0.215338,-0.237899,-0.305173,0.063387,-0.447381,-0.892094,0.067503,-0.002936,-0.012233,8.070429,-6.633293,-19.772072,,,,,,,
,,,,,,,,,,,,,,,,39.779212,-84.064401,292.752808,-1.000000,-1.000000,1530639586.448986,
1530639606.119592,0.066688,0.458549,-1.746161,-0.281602,-0.297454,-0.150523,0.059755,-0.442648,-0.894702,0.083495,-0.015299,0.005451,8.006853,-6.396553,-19.790520,,,,,,,
1530639606.139561,0.062153,0.452340,-1.747274,-0.310841,-0.190027,-0.039682,0.055866,-0.437072,-0.897690,0.046505,0.006881,-0.007187,7.800852,-6.191811,-19.917107,,,,,,,
1530639606.159529,0.060221,0.446499,-1.747127,-0.260804,-0.026890,-0.007074,0.054284,-0.431810,-0.900330,0.020850,0.012376,-0.041992,7.637037,-6.086151,-19.915840,,,,,,,
,,,,,,,,,,,,,,,,39.779140,-84.064509,292.752808,-1.000000,-1.000000,1530639606.155419,
,,,,,,,,,,,,,,,,39.779139,-84.064509,292.752808,-1.000000,-1.000000,1530639606.159835,
1530639606.179498,0.061265,0.442644,-1.746862,-0.149830,0.078913,0.012740,0.055326,-0.428330,-0.901927,0.009463,0.018097,-0.044194,7.833868,-6.041023,-19.748306,,,,,,,
1530639606.199466,0.062585,0.440800,-1.746601,-0.077383,0.033695,0.003126,0.056566,-0.426663,-0.902640,0.012343,0.017423,-0.031564,7.735765,-5.953514,-19.843018,,,,,,,
1530639606.219435,0.062357,0.440438,-1.746346,0.014850,-0.022686,0.010500,0.056369,-0.426336,-0.902807,0.017087,-0.001734,-0.020151,7.745825,-6.160538,-19.566444,,,,,,,
,,,,,,,,,,,,,,,,39.779139,-84.064509,292.752808,-1.000000,-1.000000,1530639606.208209,
,,,,,,,,,,,,,,,,39.779139,-84.064509,292.752808,-1.000000,-1.000000,1530639606.213347,
1530639606.239403,0.061374,0.441338,-1.747063,0.059455,-0.111657,-0.056198,0.055459,-0.427150,-0.902478,-0.003060,0.018031,0.000669,7.798944,-6.116638,-19.668655,,,,,,,
1530639606.259372,0.058652,0.441907,-1.748884,0.019798,-0.195392,-0.077750,0.052987,-0.427664,-0.902383,0.023551,0.026281,0.013315,7.481134,-5.942589,-19.907097,,,,,,,
1530639606.279340,0.055432,0.441243,-1.749696,-0.063649,-0.163858,-0.004445,0.050097,-0.427064,-0.902833,0.055814,0.017747,0.023453,7.501654,-5.865959,-20.140030,,,,,,,
1530639606.299309,0.053650,0.438607,-1.747807,-0.166559,0.026177,0.136697,0.048548,-0.424679,-0.904041,0.062032,0.032849,0.032841,7.441229,-5.944046,-19.768394,,,,,,,
1530639606.319277,0.055187,0.435190,-1.743886,-0.189701,0.244736,0.140157,0.050017,-0.421583,-0.905409,0.065904,0.046385,0.037642,7.578306,-5.937088,-19.891693,,,,,,,
1530639606.339246,0.057990,0.432363,-1.742437,-0.085876,0.091024,0.014275,0.052624,-0.419018,-0.906452,0.026965,0.012524,0.004459,7.589998,-5.835884,-19.962456,,,,,,,
1530639606.359214,0.057440,0.432277,-1.743979,0.029593,-0.171907,-0.121956,0.052128,-0.418940,-0.906517,0.010540,-0.012106,0.038398,7.554899,-5.836823,-19.905968,,,,,,,
1530639606.379182,0.052743,0.432495,-1.748058,0.010262,-0.386697,-0.189658,0.047864,-0.419138,-0.906660,0.030413,0.003855,0.026838,7.413801,-5.795441,-19.915443,,,,,,,
1530639606.399151,0.046801,0.431923,-1.749573,-0.047326,-0.276868,0.054153,0.042488,-0.418618,-0.907168,0.045082,0.032388,0.016512,7.232721,-5.773788,-20.144089,,,,,,,
1530639606.419119,0.041699,0.429813,-1.742261,-0.174610,0.006130,0.481815,0.037895,-0.416701,-0.908253,0.073097,0.071410,-0.015468,7.352171,-5.938446,-19.877960,,,,,,,
1530639606.439088,0.038348,0.425757,-1.728014,-0.244641,0.184536,0.706678,0.034916,-0.413010,-0.910057,0.057369,0.089158,-0.056511,7.227804,-5.994644,-20.036362,,,,,,,
1530639606.459056,0.035918,0.422319,-1.712530,-0.148855,0.156102,0.663456,0.032755,-0.409877,-0.911552,0.009451,0.025569,-0.091393,7.062181,-5.821892,-20.204819,,,,,,,
1530639606.479025,0.032849,0.422754,-1.700983,0.094087,0.019495,0.452050,0.029951,-0.410273,-0.911471,-0.077284,0.019007,-0.101560,7.056475,-5.956863,-20.135216,,,,,,,
1530639606.498993,0.029406,0.425845,-1.694707,0.160111,-0.096921,0.202726,0.026776,-0.413090,-0.910296,-0.082990,0.009328,-0.073957,6.998796,-6.274734,-19.991707,,,,,,,
,,,,,,,,,,,,,,,,39.779223,-84.064365,292.941711,-1.000000,-1.000000,1530639606.481909,
1530639606.518962,0.026514,0.426957,-1.692979,-0.006340,-0.116712,0.039390,0.024131,-0.414103,-0.909910,-0.059989,0.010355,-0.024874,6.974291,-6.327461,-19.990677,,,,,,,
1530639606.538930,0.024962,0.425746,-1.692385,-0.076450,0.000474,0.018054,0.022731,-0.413000,-0.910447,-0.048885,0.000189,-0.021239,6.776525,-6.478340,-20.202538,,,,,,,
1530639606.558899,0.028946,0.423368,-1.692748,-0.133676,0.292360,-0.044642,0.026387,-0.410833,-0.911329,-0.065953,0.003118,0.004956,6.795298,-6.603226,-20.465912,,,,,,,
1530639606.578867,0.035566,0.420018,-1.693786,-0.171337,0.306802,-0.056034,0.032468,-0.407777,-0.912504,-0.055509,-0.005446,-0.015871,6.742868,-6.866035,-20.444313,,,,,,,
1530639606.598836,0.040488,0.416860,-1.694863,-0.137691,0.176581,-0.063488,0.037011,-0.404891,-0.913615,-0.035607,-0.007920,-0.044087,6.663919,-7.079094,-20.763107,,,,,,,
1530639606.618804,0.043409,0.414816,-1.696273,-0.087282,0.105965,-0.070838,0.039715,-0.403022,-0.914328,-0.020397,0.008719,-0.046899,6.520304,-7.492821,-21.089432,,,,,,,
1530639606.638773,0.045741,0.412939,-1.696910,-0.097274,0.131998,-0.003742,0.041881,-0.401303,-0.914987,-0.002636,0.015302,-0.029242,6.416193,-7.752632,-21.536354,,,,,,,
1530639606.658741,0.049461,0.411035,-1.695399,-0.097054,0.294701,0.094110,0.045323,-0.399559,-0.915586,0.011882,0.019783,-0.008898,6.207258,-7.638336,-22.178268,,,,,,,
1530639606.678709,0.056053,0.409111,-1.692175,-0.107119,0.450954,0.167234,0.051400,-0.397794,-0.916034,0.010398,0.032392,-0.004285,6.092127,-7.942871,-23.108818,,,,,,,
1530639606.698678,0.063907,0.407426,-1.687610,-0.076107,0.491417,0.221020,0.058636,-0.396248,-0.916269,0.016422,0.026558,0.004938,6.154150,-7.882484,-23.930710,,,,,,,
1530639606.718646,0.070228,0.407006,-1.682677,-0.006845,0.344591,0.218495,0.064438,-0.395861,-0.916047,0.027969,0.040179,0.003769,6.571329,-7.926514,-24.624191,,,,,,,
1530639606.738615,0.072211,0.407693,-1.678092,0.032068,0.111707,0.210487,0.066235,-0.396492,-0.915646,0.043568,0.051323,0.020336,6.943140,-7.840385,-25.451996,,,,,,,
1530639606.758583,0.070803,0.408006,-1.673019,-0.004040,-0.017848,0.269570,0.064937,-0.396780,-0.915614,0.041005,0.050588,0.071360,7.418447,-7.876526,-25.729980,,,,,,,
1530639606.778552,0.068029,0.407128,-1.666220,-0.120744,0.047079,0.304552,0.062420,-0.395974,-0.916138,0.032337,0.051965,0.095612,7.835886,-7.774452,-26.537308,,,,,,,
1530639606.798520,0.068209,0.403323,-1.659833,-0.227656,0.136588,0.296425,0.062688,-0.392477,-0.917623,0.011165,0.048834,0.103124,8.209421,-7.614655,-27.444588,,,,,,,
1530639606.818489,0.066547,0.400026,-1.651504,-0.147842,0.022047,0.413656,0.061248,-0.389442,-0.919012,0.014451,0.015586,0.084341,8.878714,-7.203308,-28.591354,,,,,,,
