timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1530640048.477457,0.037231,0.534308,0.127714,0.225324,-0.274268,-0.334911,0.032034,-0.509245,-0.860024,-0.030157,0.041091,-0.035942,18.613350,-16.474419,-42.517807,,,,,,,
,,,,,,,,,,,,,,,,39.779088,-84.063356,290.775356,0.610000,134.296875,1530640043.000022,
,,,,,,,,,,,,,,,,39.779088,-84.063356,290.775356,0.610000,134.296875,1530640048.461340,
1530640048.497426,0.033975,0.537468,0.119412,0.132590,-0.402697,-0.276301,0.029180,-0.511962,-0.858511,0.006175,-0.007569,0.014746,18.594555,-16.586754,-42.316864,,,,,,,
1530640048.517395,0.027043,0.538230,0.111917,0.004720,-0.542820,-0.281005,0.023216,-0.512617,-0.858303,-0.006951,-0.022356,0.012004,18.371048,-16.708061,-42.358765,,,,,,,
1530640048.537364,0.019587,0.536874,0.103606,-0.079791,-0.539114,-0.334014,0.016830,-0.511452,-0.859146,-0.037384,-0.016761,-0.011673,17.914398,-16.377182,-42.778320,,,,,,,
1530640048.557332,0.013083,0.535206,0.094109,-0.048065,-0.526756,-0.366644,0.011253,-0.510018,-0.860089,-0.055015,-0.011283,-0.055667,17.494617,-16.093346,-42.823334,,,,,,,
1530640048.577301,0.009199,0.535086,0.084163,0.021102,-0.393219,-0.364582,0.007913,-0.509915,-0.860187,-0.029855,0.029172,-0.013470,17.261600,-15.962364,-42.971436,,,,,,,
1530640048.597270,0.002871,0.535062,0.075782,-0.028996,-0.556193,-0.261300,0.002470,-0.509895,-0.860232,0.000597,0.035835,-0.030576,17.039776,-15.958672,-43.125168,,,,,,,
1530640048.617239,-0.007973,0.533583,0.071231,-0.118612,-0.627020,-0.071943,-0.006865,-0.508622,-0.860962,0.017332,0.009751,-0.032471,16.528561,-15.801956,-43.418839,,,,,,,
1530640048.637208,-0.018396,0.526857,0.072980,-0.450665,-0.360967,0.261833,-0.015900,-0.502819,-0.864244,-0.005981,-0.004368,0.049089,16.098866,-15.629753,-43.660889,,,,,,,
1530640048.657177,-0.027808,0.516815,0.081020,-0.444002,-0.051077,0.466019,-0.024173,-0.494113,-0.869060,-0.026150,-0.064023,0.004131,15.619057,-15.144447,-43.904861,,,,,,,
1530640048.677145,-0.028138,0.512013,0.089455,-0.074107,0.290622,0.363417,-0.024526,-0.489934,-0.871414,-0.045786,-0.080898,-0.045670,15.741734,-15.065155,-44.026825,,,,,,,
1530640048.697114,-0.024917,0.514358,0.093553,0.194763,0.235464,0.185564,-0.021691,-0.491976,-0.870337,-0.049903,0.095980,-0.070428,15.851158,-15.311882,-43.693069,,,,,,,
1530640048.717083,-0.026992,0.517966,0.096914,0.161621,0.006387,0.268937,-0.023448,-0.495114,-0.868510,-0.080540,0.119061,0.001247,15.764793,-15.586838,-43.728668,,,,,,,
1530640048.737052,-0.028754,0.520921,0.104218,0.155514,0.197770,0.370228,-0.024936,-0.497679,-0.867002,-0.045742,0.024642,0.094800,15.771721,-15.773148,-43.415741,,,,,,,
1530640048.757021,-0.023044,0.525722,0.104454,0.275891,0.368714,-0.250380,-0.019930,-0.501837,-0.864731,-0.059584,-0.032709,0.019700,16.231899,-15.960976,-43.193069,,,,,,,
1530640048.776989,-0.008104,0.531272,0.084513,0.251389,0.291822,-1.102526,-0.006987,-0.506630,-0.862134,-0.086778,-0.039726,-0.016452,16.774960,-16.086021,-43.231964,,,,,,,
1530640048.796958,0.017508,0.533066,0.054475,0.007354,0.760086,-1.279935,0.015078,-0.508176,-0.861120,-0.087771,-0.006076,0.097128,17.848885,-15.782524,-42.911331,,,,,,,
1530640048.816927,0.050075,0.527978,0.024950,-0.307087,0.922839,-1.174411,0.043238,-0.503788,-0.862744,-0.014841,0.070377,0.113324,18.871323,-15.293716,-42.787384,,,,,,,
1530640048.836896,0.074760,0.521860,0.001646,-0.136647,0.488881,-0.846141,0.064749,-0.498494,-0.864471,0.070185,0.070118,-0.021561,19.630268,-14.694061,-42.803787,,,,,,,
1530640048.856865,0.084879,0.524867,-0.016420,0.414912,-0.206703,-0.695757,0.073366,-0.501098,-0.862274,0.034941,0.043853,-0.154343,19.839874,-14.692169,-42.376923,,,,,,,
1530640048.876833,0.087291,0.534871,-0.036429,0.564886,-0.328407,-0.823048,0.075004,-0.509730,-0.857058,0.004098,0.089137,0.019503,19.729538,-14.675980,-42.348969,,,,,,,
1530640048.896802,0.091199,0.540281,-0.058240,0.212837,-0.364469,-0.859376,0.078101,-0.514377,-0.853999,0.025552,0.020511,0.049846,19.790802,-14.629959,-42.811386,,,,,,,
1530640048.916771,0.093695,0.540966,-0.078409,0.090450,-0.350707,-0.768485,0.080199,-0.514964,-0.853451,0.030366,0.013164,-0.004383,19.737041,-14.555687,-42.549011,,,,,,,
