timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779299,-84.063519,291.476650,-1.000000,-1.000000,1530639051.999769,
1530639091.768069,0.002193,0.183292,-1.255234,-0.013570,-0.028266,0.020422,0.002157,-0.182267,-0.983247,-0.001867,-0.004073,0.005463,6.068197,12.382294,-44.672699,,,,,,,
,,,,,,,,,,,,,,,,39.779162,-84.063634,290.999477,-1.000000,-1.000000,1530639069.000001,
1530639091.788038,0.002539,0.182168,-1.254627,-0.076644,0.048910,0.037649,0.002497,-0.181163,-0.983450,-0.001398,0.002574,-0.004007,6.218206,12.371155,-44.482269,,,,,,,
1530639091.808007,0.003427,0.180785,-1.253819,-0.056777,0.041125,0.044948,0.003371,-0.179801,-0.983697,0.006150,0.005027,-0.017325,6.139631,12.446655,-44.200928,,,,,,,
1530639091.827976,0.003703,0.180127,-1.252938,-0.020061,0.009103,0.044407,0.003643,-0.179155,-0.983814,0.008289,0.006578,-0.006878,6.178480,12.414642,-44.315262,,,,,,,
,,,,,,,,,,,,,,,,39.779162,-84.063634,290.999481,-1.000000,-1.000000,1530639091.828355,
1530639091.847944,0.003739,0.179985,-1.252084,-0.001187,0.016826,0.044240,0.003679,-0.179015,-0.983839,0.003279,0.001021,-0.007219,6.101366,12.642166,-44.173355,,,,,,,
,,,,,,,,,,,,,,,,39.779162,-84.063634,290.999481,-1.000000,-1.000000,1530639091.834893,
1530639091.867913,0.004096,0.180292,-1.251248,0.026089,0.023450,0.042905,0.004029,-0.179317,-0.983783,0.007934,-0.000844,-0.028210,6.183798,12.481888,-44.180557,,,,,,,
1530639091.887882,0.003803,0.180826,-1.250268,0.023869,-0.021921,0.058885,0.003741,-0.179842,-0.983688,0.014982,-0.006895,-0.039734,6.147978,12.680328,-44.490936,,,,,,,
,,,,,,,,,,,,,,,,39.779162,-84.063634,290.999481,-1.000000,-1.000000,1530639091.883959,
,,,,,,,,,,,,,,,,39.779162,-84.063634,290.999481,-1.000000,-1.000000,1530639091.889697,
1530639091.907851,0.003144,0.180937,-1.248913,-0.002457,-0.012069,0.072156,0.003092,-0.179951,-0.983671,0.013067,-0.005641,-0.044696,6.260019,12.533913,-44.273026,,,,,,,
1530639091.927820,0.003001,0.180930,-1.247261,0.006809,0.016488,0.092690,0.002952,-0.179945,-0.983672,0.019951,-0.005266,-0.060044,6.150263,12.429573,-44.412094,,,,,,,
1530639091.947788,0.003141,0.181702,-1.245161,0.061163,0.036195,0.113774,0.003089,-0.180704,-0.983533,0.027612,-0.006338,-0.060474,6.276499,12.295830,-44.461578,,,,,,,
1530639091.967757,0.003691,0.183627,-1.242664,0.113447,0.055925,0.131648,0.003629,-0.182597,-0.983181,0.028674,-0.005636,-0.040165,6.401056,12.031616,-44.437485,,,,,,,
