timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779240,-84.064462,292.169739,-1.000000,-1.000000,1530639771.453196,
1530639781.648434,0.084202,0.353256,-0.828190,-0.306567,0.055159,-0.056909,0.078910,-0.345954,-0.934927,0.023065,-0.002358,-0.033487,7.329845,-4.294243,-14.374306,,,,,,,
,,,,,,,,,,,,,,,,39.779240,-84.064462,292.169739,-1.000000,-1.000000,1530639780.453196,
1530639781.668403,0.084626,0.347313,-0.828697,-0.331857,-0.037680,-0.039835,0.079478,-0.340372,-0.936926,0.024557,0.007349,-0.003565,7.523376,-4.372231,-14.457230,,,,,,,
1530639781.688372,0.081493,0.339806,-0.827886,-0.404821,-0.203788,0.038880,0.076748,-0.333304,-0.939690,0.034611,-0.021844,-0.042838,7.416294,-4.192108,-14.467758,,,,,,,
1530639781.708340,0.076574,0.333434,-0.825698,-0.259540,-0.192100,0.097782,0.072286,-0.327290,-0.942155,0.032008,-0.006588,-0.074965,7.284924,-4.154633,-14.450645,,,,,,,
,,,,,,,,,,,,,,,,39.779228,-84.064573,292.169739,-1.000000,-1.000000,1530639781.704075,
,,,,,,,,,,,,,,,,39.779228,-84.064573,292.169739,-1.000000,-1.000000,1530639781.708410,
1530639781.728309,0.073631,0.331823,-0.823472,0.005730,-0.074082,0.099835,0.069552,-0.325768,-0.942888,-0.005022,0.025322,-0.092879,7.252769,-4.161293,-14.653679,,,,,,,
1530639781.748278,0.073636,0.335107,-0.822180,0.234719,0.071908,0.049565,0.069477,-0.328871,-0.941816,-0.014438,0.027143,-0.054827,7.247147,-4.385109,-14.663643,,,,,,,
,,,,,,,,,,,,,,,,39.779228,-84.064574,292.169739,-1.000000,-1.000000,1530639781.751129,
1530639781.768246,0.075881,0.340409,-0.822014,0.252757,0.114037,0.022610,0.071458,-0.333872,-0.939906,-0.017396,0.009867,-0.008794,7.091713,-4.344521,-14.524895,,,,,,,
