timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779070,-84.063519,290.245876,0.200000,-1.000000,1530638876.000095,
1530638884.451519,0.033593,0.519959,-0.342131,0.322566,-0.448038,-1.071314,0.029148,-0.496844,-0.867350,0.014248,0.083728,0.046717,20.725939,-20.676872,-43.780670,,,,,,,
,,,,,,,,,,,,,,,,39.779070,-84.063519,290.245876,0.200000,-1.000000,1530638884.000095,
1530638884.471488,0.038243,0.521136,-0.365631,-0.041920,-0.381079,-0.999154,0.033158,-0.497865,-0.866620,0.032363,0.046678,0.035657,20.641329,-20.279984,-43.634468,,,,,,,
1530638884.491457,0.041950,0.517266,-0.387257,-0.187116,-0.373710,-0.940409,0.036451,-0.494506,-0.868410,-0.007185,0.046889,-0.017302,20.723726,-19.698349,-43.943214,,,,,,,
1530638884.511426,0.044625,0.513869,-0.408740,-0.076867,-0.404542,-0.956833,0.038849,-0.491550,-0.869982,-0.008820,0.061664,-0.046583,20.688749,-19.379456,-44.201988,,,,,,,
1530638884.531395,0.046935,0.513137,-0.429566,0.046267,-0.386330,-0.882561,0.040875,-0.490913,-0.870249,-0.006649,0.063621,-0.062673,20.797087,-19.182457,-44.103516,,,,,,,
,,,,,,,,,,,,,,,,39.779070,-84.063519,290.245880,-1.000000,-1.000000,1530638884.522889,
1530638884.551365,0.050338,0.514019,-0.448526,0.104412,-0.254349,-0.814597,0.043814,-0.491681,-0.869672,-0.012808,0.075269,-0.029757,20.716482,-18.839676,-44.265465,,,,,,,
,,,,,,,,,,,,,,,,39.779070,-84.063519,290.245880,-1.000000,-1.000000,1530638884.542841,
1530638884.571334,0.054074,0.515023,-0.466864,0.057128,-0.320659,-0.801471,0.047036,-0.492555,-0.869009,0.007346,0.070069,0.011130,20.785795,-18.579315,-44.248138,,,,,,,
,,,,,,,,,,,,,,,,39.779070,-84.063519,290.245880,-1.000000,-1.000000,1530638884.567103,
,,,,,,,,,,,,,,,,39.779070,-84.063519,290.245880,-1.000000,-1.000000,1530638884.573576,
1530638884.591303,0.054999,0.513146,-0.483719,-0.121802,-0.346555,-0.719874,0.047892,-0.490920,-0.869887,-0.017557,0.048873,0.020812,20.656988,-18.222839,-44.434608,,,,,,,
1530638884.611272,0.057113,0.508762,-0.500037,-0.157207,-0.308790,-0.751673,0.049852,-0.487097,-0.871924,-0.025926,0.069540,-0.078882,20.735533,-18.003029,-44.355179,,,,,,,
1530638884.631241,0.057949,0.507216,-0.516540,0.044842,-0.375395,-0.707770,0.050625,-0.485745,-0.872633,0.004551,0.055127,-0.070879,20.645384,-17.648392,-44.615662,,,,,,,
1530638884.651210,0.057945,0.509028,-0.531304,0.173188,-0.372668,-0.629314,0.050571,-0.487328,-0.871753,0.001950,0.064843,-0.056531,20.548532,-17.532127,-44.792419,,,,,,,
1530638884.671179,0.057355,0.512623,-0.545646,0.223489,-0.388173,-0.624531,0.049955,-0.490465,-0.870028,0.006640,0.047716,-0.003431,20.279409,-17.210258,-44.922028,,,,,,,
1530638884.691148,0.056322,0.514149,-0.559687,0.036707,-0.410292,-0.609710,0.049014,-0.491794,-0.869331,0.019132,0.023441,0.040489,20.103445,-17.293877,-44.970535,,,,,,,
1530638884.711117,0.055362,0.511495,-0.573334,-0.152968,-0.362643,-0.626866,0.048252,-0.489481,-0.870678,-0.002888,0.016795,0.028438,20.016302,-17.240715,-44.983963,,,,,,,
1530638884.731087,0.055967,0.507039,-0.587800,-0.173649,-0.309390,-0.664138,0.048900,-0.485591,-0.872817,0.016820,0.033656,-0.039170,19.910299,-16.792458,-45.069229,,,,,,,
1530638884.751056,0.057767,0.503889,-0.602194,-0.075287,-0.235627,-0.640027,0.050559,-0.482834,-0.874251,0.075875,0.037903,-0.055498,19.954508,-16.485588,-45.394119,,,,,,,
1530638884.771025,0.060794,0.503021,-0.616115,0.026201,-0.182860,-0.612813,0.053231,-0.482075,-0.874511,0.128013,0.038853,-0.009125,19.825548,-16.212181,-45.409149,,,,,,,
1530638884.790994,0.064529,0.502588,-0.628669,-0.017418,-0.089527,-0.538558,0.056510,-0.481695,-0.874515,0.121133,0.044103,0.075153,19.917784,-15.970848,-45.322144,,,,,,,
1530638884.810963,0.067122,0.500022,-0.640501,-0.140001,-0.226302,-0.548695,0.058860,-0.479445,-0.875596,0.067452,0.011504,0.103211,19.810858,-15.737572,-45.223404,,,,,,,
1530638884.830932,0.066858,0.494342,-0.653333,-0.294653,-0.370424,-0.612451,0.058810,-0.474452,-0.878314,0.028501,-0.028950,0.149204,19.811682,-15.586472,-45.525604,,,,,,,
1530638884.850901,0.065240,0.485664,-0.665982,-0.463864,-0.394980,-0.565464,0.057655,-0.466795,-0.882484,0.060479,-0.030046,0.143073,19.536921,-14.781044,-45.596710,,,,,,,
1530638884.870870,0.063431,0.474142,-0.676049,-0.578090,-0.286457,-0.449404,0.056396,-0.456576,-0.887895,0.046693,-0.032820,0.072649,19.399271,-14.335625,-46.055222,,,,,,,
1530638884.890839,0.062849,0.462505,-0.682999,-0.542782,-0.137494,-0.281891,0.056209,-0.446191,-0.893171,0.117863,-0.080069,-0.006335,19.293135,-13.761520,-46.480392,,,,,,,
,,,,,,,,,,,,,,,,39.779327,-84.063474,291.040497,-1.000000,-1.000000,1530638884.870776,
1530638884.910808,0.062058,0.453096,-0.686350,-0.411833,-0.141854,-0.136628,0.055760,-0.437751,-0.897366,0.135707,-0.087152,-0.082249,19.319803,-13.298370,-46.389725,,,,,,,
1530638884.930777,0.060175,0.447436,-0.686369,-0.213796,-0.084428,0.010374,0.054219,-0.432656,-0.899927,0.170558,-0.045692,-0.067281,19.134306,-12.865898,-46.642334,,,,,,,
1530638884.950747,0.059465,0.447106,-0.683468,0.084626,0.096384,0.189254,0.053589,-0.432358,-0.900108,0.136811,-0.038071,-0.018532,19.259607,-13.270370,-46.479996,,,,,,,
1530638884.970716,0.063075,0.453506,-0.677336,0.433730,0.424319,0.321925,0.056662,-0.438120,-0.897129,0.063455,0.018991,-0.003323,19.516279,-13.566406,-46.382614,,,,,,,
1530638884.990685,0.069572,0.465466,-0.672042,0.611064,0.385497,0.180718,0.062120,-0.448839,-0.891451,0.074324,0.023302,-0.022017,19.701147,-14.194267,-46.131943,,,,,,,
1530638885.010654,0.078237,0.475978,-0.671550,0.430103,0.497243,-0.006630,0.069470,-0.458208,-0.886126,0.074009,-0.039518,0.023806,20.000242,-14.286896,-45.642654,,,,,,,
1530638885.031863,0.088108,0.479831,-0.672587,0.054990,0.279017,-0.039276,0.078057,-0.461629,-0.883632,0.105827,-0.012309,0.029109,20.235594,-14.565086,-45.626907,,,,,,,
1530638885.051832,0.085542,0.476030,-0.673940,-0.297565,-0.353910,-0.127007,0.075939,-0.458254,-0.885571,0.096607,-0.007917,0.051556,20.079966,-14.177116,-45.577972,,,,,,,
1530638885.071802,0.079649,0.466821,-0.676475,-0.504855,-0.293927,-0.170884,0.071052,-0.450050,-0.890172,0.092278,-0.028008,0.095372,19.934950,-14.017403,-45.965485,,,,,,,
1530638885.091771,0.079785,0.457056,-0.678987,-0.434912,0.056889,-0.140821,0.071520,-0.441308,-0.894501,0.079420,-0.059592,0.065628,19.998533,-13.523514,-46.109680,,,,,,,
1530638885.111740,0.083903,0.451178,-0.680010,-0.215644,0.226039,-0.028016,0.075418,-0.436026,-0.896768,0.092184,-0.082361,-0.020453,20.084230,-13.253799,-45.847366,,,,,,,
1530638885.131709,0.090108,0.449159,-0.678479,-0.066700,0.363144,0.092929,0.081061,-0.434208,-0.897158,0.068170,-0.044643,-0.064573,20.439161,-13.307091,-45.589981,,,,,,,
1530638885.151678,0.095408,0.448808,-0.675944,-0.032107,0.246086,0.097387,0.085829,-0.433892,-0.896867,0.030260,-0.006065,-0.064665,20.668161,-13.238899,-45.806244,,,,,,,
1530638885.171647,0.097626,0.448232,-0.674072,-0.057939,0.062036,0.054713,0.087842,-0.433373,-0.896923,0.028445,-0.012626,-0.065982,20.692251,-13.165558,-45.747574,,,,,,,
1530638885.191616,0.096103,0.446358,-0.672614,-0.140721,-0.109022,0.051537,0.086554,-0.431683,-0.897863,0.027521,-0.034900,-0.032450,20.660513,-13.085793,-45.506516,,,,,,,
1530638885.211585,0.092404,0.442378,-0.670079,-0.248151,-0.146922,0.109661,0.083390,-0.428090,-0.899881,0.023086,-0.037303,0.005487,20.595213,-13.134888,-45.744217,,,,,,,
1530638885.231554,0.088284,0.437413,-0.665477,-0.254229,-0.083589,0.210332,0.079868,-0.423597,-0.902323,0.034725,-0.037066,-0.007727,20.408083,-12.887657,-45.860657,,,,,,,
1530638885.251523,0.085713,0.434360,-0.659607,-0.117132,0.025436,0.241753,0.077658,-0.420830,-0.903809,0.007608,-0.016609,-0.021697,20.363932,-13.056725,-45.733856,,,,,,,
1530638885.271493,0.085347,0.433812,-0.654596,-0.019206,0.110761,0.190427,0.077347,-0.420333,-0.904067,-0.016281,0.003814,0.001388,20.248655,-13.002579,-45.759445,,,,,,,
1530638885.291462,0.086652,0.434052,-0.650485,-0.004419,0.150594,0.176441,0.078518,-0.420550,-0.903865,-0.004757,-0.009488,-0.015156,20.448866,-13.012863,-45.928848,,,,,,,
