timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779645,-84.063313,291.724087,-1.000000,-1.000000,1530638489.004530,
1530638496.336584,0.150801,0.400300,-1.038421,0.311586,-0.050125,0.134308,0.138353,-0.389694,-0.910492,0.007658,-0.015457,-0.069519,17.908457,-2.063347,-45.868713,,,,,,,
1530638496.356553,0.146151,0.405449,-1.037028,0.126352,-0.271666,0.093151,0.133824,-0.394432,-0.909128,-0.000386,-0.044121,0.018305,17.722925,-2.296120,-45.955597,,,,,,,
,,,,,,,,,,,,,,,,39.779645,-84.063313,291.724087,-1.000000,-1.000000,1530638496.318356,
1530638496.376523,0.139316,0.402793,-1.034179,-0.303820,-0.303734,0.121315,0.127753,-0.391989,-0.911056,0.000696,-0.066293,0.075698,17.499640,-2.169098,-45.798386,,,,,,,
1530638496.396492,0.131710,0.395781,-1.029655,-0.375574,-0.269861,0.175091,0.121177,-0.385529,-0.914704,0.012825,-0.059555,-0.010543,17.290136,-2.090508,-45.980316,,,,,,,
1530638496.416462,0.126447,0.391792,-1.024241,-0.120448,-0.068527,0.261779,0.116554,-0.381846,-0.916847,0.040184,-0.057318,-0.051277,17.131128,-1.818863,-45.926773,,,,,,,
,,,,,,,,,,,,,,,,39.779645,-84.063313,291.724091,-1.000000,-1.000000,1530638496.398281,
,,,,,,,,,,,,,,,,39.779645,-84.063313,291.724091,-1.000000,-1.000000,1530638496.405973,
1530638496.436431,0.122500,0.395119,-1.018642,0.272864,-0.046520,0.253378,0.112779,-0.384918,-0.916034,-0.000200,-0.029480,-0.066205,17.173120,-2.091576,-46.086121,,,,,,,
1530638496.456400,0.121634,0.402227,-1.016206,0.302530,0.010926,0.086168,0.111650,-0.391469,-0.913393,-0.039888,0.019750,0.033815,16.936384,-2.119507,-45.520523,,,,,,,
,,,,,,,,,,,,,,,,39.779645,-84.063313,291.724091,-1.000000,-1.000000,1530638496.446938,
1530638496.476370,0.123860,0.404018,-1.016764,-0.037212,0.100278,-0.047829,0.113597,-0.393116,-0.912444,0.000813,-0.019298,0.151931,17.083643,-2.195503,-45.922745,,,,,,,
,,,,,,,,,,,,,,,,39.779645,-84.063313,291.724091,-1.000000,-1.000000,1530638496.453141,
1530638496.496339,0.123573,0.400199,-1.016564,-0.288186,-0.061131,-0.001713,0.113519,-0.389602,-0.913960,0.006796,-0.062485,0.100575,17.092726,-2.415443,-46.200134,,,,,,,
1530638496.516309,0.121007,0.392193,-1.015582,-0.442265,-0.167012,-0.008130,0.111547,-0.382215,-0.917316,0.014247,-0.036181,0.064060,17.013906,-2.062790,-46.259888,,,,,,,
1530638496.536278,0.116271,0.384833,-1.014361,-0.290455,-0.214749,0.023459,0.107524,-0.375404,-0.920603,0.029057,-0.024315,-0.036245,16.870020,-1.831932,-46.125916,,,,,,,
1530638496.556247,0.112190,0.382944,-1.013235,0.003999,-0.188531,0.049562,0.103846,-0.373653,-0.921737,0.041464,0.000865,-0.054719,16.765280,-1.620789,-45.844772,,,,,,,
1530638496.576217,0.107196,0.385248,-1.011530,0.112536,-0.237592,0.115037,0.099149,-0.375789,-0.921386,0.056872,0.000408,-0.002030,16.586367,-1.646164,-46.125488,,,,,,,
1530638496.596186,0.100341,0.387030,-1.007674,0.026620,-0.311262,0.236390,0.092763,-0.377440,-0.921376,0.078913,0.006804,0.052083,16.280676,-1.645790,-46.375473,,,,,,,
1530638496.616155,0.092142,0.386507,-1.002293,-0.105253,-0.323148,0.205391,0.085224,-0.376956,-0.922302,-0.026935,0.009967,0.002960,16.093866,-2.076050,-46.723587,,,,,,,
1530638496.636125,0.085267,0.382793,-0.999540,-0.241550,-0.253733,0.071282,0.079000,-0.373513,-0.924255,-0.041677,-0.057365,0.017135,15.822123,-1.871155,-46.578003,,,,,,,
1530638496.656094,0.080967,0.377963,-0.997412,-0.222926,-0.188810,0.100516,0.075170,-0.369028,-0.926373,0.029566,-0.034750,-0.000797,15.630499,-1.596611,-46.800034,,,,,,,
1530638496.676064,0.076526,0.376016,-0.994378,-0.039771,-0.154950,0.144025,0.071110,-0.367218,-0.927413,0.004406,-0.018890,-0.065828,15.443274,-1.258797,-46.522079,,,,,,,
1530638496.696033,0.072629,0.377015,-0.991791,0.078006,-0.161334,0.103909,0.067469,-0.368147,-0.927316,-0.001276,0.010496,-0.059561,15.299589,-1.337143,-46.698486,,,,,,,
1530638496.716002,0.068287,0.379214,-0.989504,0.096728,-0.165889,0.123103,0.063386,-0.370190,-0.926791,0.023711,0.012219,-0.026243,15.171591,-1.482109,-46.927689,,,,,,,
1530638496.735972,0.064405,0.381284,-0.986780,0.102854,-0.170447,0.143507,0.059738,-0.372112,-0.926263,0.039993,-0.008167,-0.013831,14.972441,-1.441772,-47.101257,,,,,,,
1530638496.755942,0.060517,0.384198,-0.983168,0.139178,-0.078037,0.187787,0.056071,-0.374816,-0.925402,-0.006770,-0.021806,-0.019499,14.846731,-1.696854,-46.986237,,,,,,,
1530638496.775912,0.059004,0.386830,-0.979590,0.130019,0.001699,0.151598,0.054612,-0.377255,-0.924498,-0.018708,-0.013355,0.026671,14.863222,-1.930595,-47.016800,,,,,,,
1530638496.795881,0.058002,0.390314,-0.976683,0.174221,0.017276,0.131789,0.053609,-0.380479,-0.923234,-0.034490,-0.011275,0.002839,14.902178,-2.157288,-46.993637,,,,,,,
,,,,,,,,,,,,,,,,39.779335,-84.063592,291.952026,-1.000000,-1.000000,1530638496.753240,
1530638496.815850,0.057197,0.393086,-0.974589,0.109543,-0.032098,0.091254,0.052806,-0.383041,-0.922221,-0.016093,0.020675,0.002604,14.929152,-2.382561,-46.804779,,,,,,,
1530638496.835819,0.055484,0.395297,-0.972709,0.117950,-0.056379,0.089974,0.051179,-0.385082,-0.921462,0.012969,0.019954,-0.028520,14.903631,-2.398979,-47.293961,,,,,,,
1530638496.855788,0.053116,0.398103,-0.970826,0.132643,-0.107161,0.089569,0.048939,-0.387670,-0.920498,0.020550,0.023931,-0.039020,14.752069,-2.600006,-47.210968,,,,,,,
1530638496.875757,0.049843,0.400431,-0.968653,0.098927,-0.122740,0.109264,0.045881,-0.389815,-0.919749,0.017610,0.015685,-0.011174,14.629011,-2.640427,-47.042831,,,,,,,
1530638496.895727,0.046606,0.402707,-0.966392,0.125222,-0.103915,0.099371,0.042862,-0.391911,-0.919004,-0.002899,0.023106,-0.015505,14.582735,-2.604256,-47.256851,,,,,,,
1530638496.915697,0.045217,0.405932,-0.964684,0.182127,0.008920,0.062638,0.041528,-0.394875,-0.917795,-0.003533,0.034783,0.010187,14.451982,-2.793320,-47.281357,,,,,,,
1530638496.935667,0.044528,0.410385,-0.963242,0.219648,-0.001226,0.091311,0.040817,-0.398963,-0.916058,0.005188,0.025717,-0.000644,14.498861,-3.029411,-47.086700,,,,,,,
1530638496.955636,0.042238,0.413738,-0.960993,0.131375,-0.109555,0.116533,0.038663,-0.402035,-0.914807,-0.003613,0.022427,-0.001696,14.480879,-3.397621,-47.322586,,,,,,,
1530638496.975605,0.039274,0.415473,-0.958701,0.071753,-0.098367,0.097812,0.035923,-0.403623,-0.914220,-0.011448,0.038389,0.021825,14.184416,-3.279823,-47.279373,,,,,,,
1530638496.995574,0.036260,0.417096,-0.956550,0.094828,-0.112723,0.097495,0.033144,-0.405107,-0.913668,-0.017290,0.029588,-0.005262,14.254797,-3.251221,-47.042404,,,,,,,
1530638497.015543,0.033815,0.419197,-0.954862,0.109728,-0.076104,0.069468,0.030881,-0.407027,-0.912893,-0.040189,0.023895,0.015188,14.114386,-3.537346,-47.108566,,,,,,,
1530638497.035512,0.031818,0.421409,-0.953151,0.106415,-0.068518,0.090034,0.029030,-0.409046,-0.912051,-0.009773,0.015812,0.019778,14.150328,-3.676407,-47.254242,,,,,,,
1530638497.056731,0.028984,0.423415,-0.950829,0.082269,-0.111593,0.094398,0.026421,-0.410876,-0.911308,-0.001976,0.009204,-0.003334,14.077879,-3.779655,-47.460892,,,,,,,
1530638497.076699,0.025884,0.424182,-0.948830,0.005781,-0.113722,0.086576,0.023588,-0.411575,-0.911070,-0.023038,0.006867,0.028349,13.806253,-3.691162,-47.577896,,,,,,,
1530638497.096669,0.023241,0.423598,-0.947121,-0.037094,-0.079379,0.071021,0.021185,-0.411044,-0.911369,-0.026556,0.007677,0.019691,13.690672,-3.591599,-47.329239,,,,,,,
1530638497.116638,0.021371,0.423012,-0.945696,-0.015858,-0.065915,0.038506,0.019485,-0.410509,-0.911648,-0.017471,0.013903,-0.014011,13.811651,-3.715332,-47.355743,,,,,,,
1530638497.136607,0.020255,0.423384,-0.945225,0.017874,-0.023818,0.015695,0.018465,-0.410848,-0.911517,-0.031161,0.022451,-0.016660,13.848330,-3.738701,-47.308411,,,,,,,
1530638497.156578,0.019967,0.423476,-0.944120,0.003817,0.028820,0.066794,0.018202,-0.410932,-0.911484,-0.000395,0.005521,-0.003998,13.861616,-3.756859,-47.434464,,,,,,,
1530638497.176547,0.020163,0.424204,-0.942263,0.050806,0.065073,0.090191,0.018374,-0.411596,-0.911181,0.010465,0.013845,-0.007581,13.899446,-4.067085,-47.358276,,,,,,,
1530638497.196516,0.020688,0.425121,-0.940193,0.036113,0.070589,0.091451,0.018845,-0.412431,-0.910794,0.014083,0.014100,0.014645,13.884554,-3.926926,-47.313751,,,,,,,
1530638497.216486,0.021361,0.425539,-0.937717,0.007684,0.110246,0.104892,0.019454,-0.412811,-0.910608,0.005433,-0.000671,0.030573,13.959791,-4.091202,-47.426865,,,,,,,
1530638497.236454,0.022594,0.425889,-0.934761,0.019760,0.097668,0.167253,0.020574,-0.413130,-0.910439,0.038416,-0.011369,0.049294,13.982241,-4.131508,-47.306458,,,,,,,
1530638497.256424,0.022880,0.425669,-0.930323,-0.026752,0.127178,0.212112,0.020836,-0.412931,-0.910524,-0.013329,-0.003573,0.053606,14.139349,-4.133217,-47.287720,,,,,,,
1530638497.276393,0.023521,0.425639,-0.925483,0.033988,0.127088,0.222250,0.021420,-0.412903,-0.910523,0.014392,0.002808,0.040802,14.035471,-4.151833,-47.082626,,,,,,,
1530638497.296362,0.023200,0.431393,-0.918886,0.464751,0.117021,0.380468,0.021073,-0.418136,-0.908140,0.105346,-0.001419,-0.001773,14.294306,-4.488602,-47.146255,,,,,,,
1530638497.316333,0.025325,0.445286,-0.908672,0.774077,0.499132,0.503039,0.022853,-0.430716,-0.902198,0.001317,-0.028054,0.028510,14.642736,-5.256882,-47.115692,,,,,,,
1530638497.336302,0.040294,0.461565,-0.902163,0.826891,1.108475,0.184017,0.036068,-0.445350,-0.894629,-0.020138,0.067817,0.049506,15.252321,-6.033501,-46.696472,,,,,,,
1530638497.356272,0.065660,0.478162,-0.900435,0.793628,1.368201,0.141403,0.058254,-0.460148,-0.885929,-0.009975,0.034489,-0.022885,16.434587,-6.689369,-46.387665,,,,,,,
1530638497.376240,0.088694,0.491341,-0.895284,0.531900,1.154891,0.350241,0.078099,-0.471809,-0.878235,-0.011952,-0.066216,-0.059098,17.454790,-7.399216,-45.818436,,,,,,,
1530638497.396209,0.101099,0.499449,-0.886612,0.285995,0.604683,0.427869,0.088599,-0.478942,-0.873364,0.005151,-0.032609,-0.100315,18.106787,-7.998009,-45.495300,,,,,,,
1530638497.416179,0.104013,0.503429,-0.879201,0.091282,0.197409,0.267274,0.090944,-0.482432,-0.871199,-0.002199,0.044017,-0.080644,18.355177,-8.159081,-45.600769,,,,,,,
1530638497.436148,0.103876,0.503061,-0.876272,-0.101961,0.001370,0.050531,0.090843,-0.482110,-0.871388,-0.010597,0.052575,-0.055355,18.277132,-7.946480,-45.467239,,,,,,,
1530638497.456118,0.101289,0.500059,-0.874890,-0.172333,-0.151067,0.067800,0.088735,-0.479478,-0.873056,0.009928,-0.019149,-0.090582,18.372828,-7.980072,-45.347427,,,,,,,
1530638497.476088,0.097111,0.496959,-0.871545,-0.153177,-0.087688,0.160656,0.085230,-0.476754,-0.874894,-0.019327,-0.046546,-0.048522,18.276674,-7.914909,-45.608658,,,,,,,
1530638497.496057,0.094892,0.495445,-0.867339,-0.049542,0.015908,0.180544,0.083357,-0.475423,-0.875799,-0.030775,-0.021510,-0.041560,18.191790,-8.034286,-45.607239,,,,,,,
1530638497.516026,0.092986,0.496257,-0.863149,0.054254,-0.010640,0.183620,0.081651,-0.476137,-0.875571,-0.021257,0.001742,-0.074212,18.155966,-8.183571,-45.825363,,,,,,,
1530638497.535995,0.090574,0.497949,-0.859760,0.068279,-0.063310,0.136841,0.079466,-0.477624,-0.874962,-0.032179,0.014383,-0.050163,18.004511,-7.828987,-45.713989,,,,,,,
1530638497.555964,0.086777,0.499176,-0.856845,0.036842,-0.161548,0.136706,0.076092,-0.478702,-0.874673,-0.025509,0.002888,-0.042166,17.847097,-8.027199,-45.755753,,,,,,,
1530638497.575934,0.080899,0.499653,-0.853417,-0.003178,-0.233446,0.159433,0.070932,-0.479121,-0.874878,-0.028939,-0.003911,-0.035324,17.748373,-8.190033,-45.672897,,,,,,,
1530638497.595903,0.074097,0.499361,-0.849576,-0.036805,-0.255574,0.168311,0.064990,-0.478865,-0.875479,-0.025851,-0.000108,-0.016122,17.455587,-8.102249,-45.832489,,,,,,,
