timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,39.779202,-84.064382,292.339264,-1.000000,-1.000000,1530638790.265076,
1530638797.262455,0.100266,0.472901,3.123079,0.051038,0.152949,-0.325684,0.089112,-0.455471,-0.885779,0.066543,0.026775,0.004584,3.699083,-11.301811,-21.297432,,,,,,,
,,,,,,,,,,,,,,,,39.779202,-84.064382,292.339264,-1.000000,-1.000000,1530638797.238548,
1530638797.282425,0.099206,0.472399,3.117624,-0.067459,-0.330393,-0.185469,0.088196,-0.455024,-0.886100,0.084976,-0.015939,0.049095,3.697618,-11.166374,-21.017235,,,,,,,
1530638797.302394,0.092697,0.468912,3.115061,-0.205248,-0.337325,-0.134420,0.082573,-0.451916,-0.888230,-0.004707,-0.011891,-0.007690,3.706236,-11.263618,-21.185684,,,,,,,
1530638797.322363,0.092462,0.464160,3.111209,-0.209789,0.038666,-0.229621,0.082561,-0.447672,-0.890378,-0.030392,0.023035,-0.060016,3.571474,-11.086121,-20.923012,,,,,,,
1530638797.342332,0.099208,0.460622,3.106117,-0.111249,0.292548,-0.231603,0.088723,-0.444505,-0.891371,0.036460,0.051118,-0.073000,3.826517,-11.129326,-20.929573,,,,,,,
,,,,,,,,,,,,,,,,39.779184,-84.064409,292.339264,-1.000000,-1.000000,1530638797.320550,
1530638797.362302,0.106508,0.460503,3.101857,0.092631,0.217993,-0.155410,0.095232,-0.444399,-0.890752,0.053678,0.030321,-0.072108,3.850943,-11.068184,-21.340958,,,,,,,
,,,,,,,,,,,,,,,,39.779184,-84.064409,292.339264,-1.000000,-1.000000,1530638797.337976,
1530638797.382271,0.109674,0.464107,3.099081,0.218936,0.025341,-0.078953,0.097876,-0.447625,-0.888848,0.034662,0.024773,-0.017081,3.925726,-11.193550,-21.302666,,,,,,,
,,,,,,,,,,,,,,,,39.779184,-84.064410,292.339264,-1.000000,-1.000000,1530638797.369444,
,,,,,,,,,,,,,,,,39.779184,-84.064410,292.339264,-1.000000,-1.000000,1530638797.373705,
1530638797.402240,0.110064,0.467319,3.097342,0.119139,-0.010108,-0.056485,0.098064,-0.450495,-0.887376,0.020451,0.021356,0.036897,4.074221,-11.169464,-21.176315,,,,,,,
1530638797.422210,0.111875,0.466711,3.096665,-0.109904,0.135343,-0.006968,0.099702,-0.449951,-0.887470,0.027770,0.023895,0.065112,3.960775,-11.098358,-21.097366,,,,,,,
1530638797.442179,0.115868,0.461717,3.098232,-0.318202,0.287217,0.070401,0.103503,-0.445486,-0.889285,0.008450,0.027945,0.039996,3.968241,-11.040604,-21.217583,,,,,,,
1530638797.462148,0.120596,0.455205,3.100672,-0.301366,0.280634,0.063721,0.108053,-0.439646,-0.891647,-0.017340,0.037486,-0.014573,4.081861,-10.792961,-21.437706,,,,,,,
1530638797.482118,0.123177,0.451506,3.102048,-0.122786,0.054494,0.031606,0.110553,-0.436321,-0.892973,0.003308,0.005322,-0.039263,4.189878,-10.847664,-21.193481,,,,,,,
1530638797.502087,0.121476,0.451149,3.102583,0.029456,-0.113223,0.012996,0.109053,-0.436000,-0.893314,-0.015639,-0.007436,-0.076702,4.167505,-10.874496,-21.484512,,,,,,,
1530638797.522056,0.120870,0.452989,3.102171,0.117747,0.031557,-0.015285,0.108415,-0.437655,-0.892582,-0.021653,0.014498,-0.045604,4.099520,-10.956940,-21.515305,,,,,,,
1530638797.542026,0.123688,0.454760,3.101594,0.057901,0.160696,-0.009712,0.110834,-0.439246,-0.891503,-0.008875,-0.002404,0.017342,4.174536,-11.013046,-21.085304,,,,,,,
1530638797.561995,0.126882,0.453652,3.101808,-0.117378,0.171668,0.008385,0.113742,-0.438251,-0.891626,-0.027240,-0.023907,0.053400,4.133074,-10.853058,-21.208290,,,,,,,
